id,provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun
0,JAWA BARAT,3201,KABUPATEN BOGOR,294050,KUINTAL,2013
1,JAWA BARAT,3202,KABUPATEN SUKABUMI,735710,KUINTAL,2013
2,JAWA BARAT,3203,KABUPATEN CIANJUR,942580,KUINTAL,2013
3,JAWA BARAT,3204,KABUPATEN BANDUNG,428480,KUINTAL,2013
4,JAWA BARAT,3205,KABUPATEN GARUT,1128400,KUINTAL,2013
5,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,251550,KUINTAL,2013
6,JAWA BARAT,3207,KABUPATEN CIAMIS,387470,KUINTAL,2013
7,JAWA BARAT,3208,KABUPATEN KUNINGAN,3240620,KUINTAL,2013
8,JAWA BARAT,3209,KABUPATEN CIREBON,3094810,KUINTAL,2013
9,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1024270,KUINTAL,2013
10,JAWA BARAT,3211,KABUPATEN SUMEDANG,2360690,KUINTAL,2013
11,JAWA BARAT,3212,KABUPATEN INDRAMAYU,8478780,KUINTAL,2013
12,JAWA BARAT,3213,KABUPATEN SUBANG,8010660,KUINTAL,2013
13,JAWA BARAT,3214,KABUPATEN PURWAKARTA,177370,KUINTAL,2013
14,JAWA BARAT,3215,KABUPATEN KARAWANG,1236990,KUINTAL,2013
15,JAWA BARAT,3216,KABUPATEN BEKASI,398190,KUINTAL,2013
16,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,96910,KUINTAL,2013
17,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KUINTAL,2013
18,JAWA BARAT,3271,KOTA BOGOR,52460,KUINTAL,2013
19,JAWA BARAT,3272,KOTA SUKABUMI,9490,KUINTAL,2013
20,JAWA BARAT,3273,KOTA BANDUNG,9970,KUINTAL,2013
21,JAWA BARAT,3274,KOTA CIREBON,39320,KUINTAL,2013
22,JAWA BARAT,3275,KOTA BEKASI,85390,KUINTAL,2013
23,JAWA BARAT,3276,KOTA DEPOK,62130,KUINTAL,2013
24,JAWA BARAT,3277,KOTA CIMAHI,9000,KUINTAL,2013
25,JAWA BARAT,3278,KOTA TASIKMALAYA,44450,KUINTAL,2013
26,JAWA BARAT,3279,KOTA BANJAR,107270,KUINTAL,2013
27,JAWA BARAT,3201,KABUPATEN BOGOR,228630,KUINTAL,2014
28,JAWA BARAT,3202,KABUPATEN SUKABUMI,1237350,KUINTAL,2014
29,JAWA BARAT,3203,KABUPATEN CIANJUR,1210650,KUINTAL,2014
30,JAWA BARAT,3204,KABUPATEN BANDUNG,515230,KUINTAL,2014
31,JAWA BARAT,3205,KABUPATEN GARUT,756580,KUINTAL,2014
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,287010,KUINTAL,2014
33,JAWA BARAT,3207,KABUPATEN CIAMIS,378330,KUINTAL,2014
34,JAWA BARAT,3208,KABUPATEN KUNINGAN,2332860,KUINTAL,2014
35,JAWA BARAT,3209,KABUPATEN CIREBON,5166070,KUINTAL,2014
36,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5717250,KUINTAL,2014
37,JAWA BARAT,3211,KABUPATEN SUMEDANG,2063260,KUINTAL,2014
38,JAWA BARAT,3212,KABUPATEN INDRAMAYU,7243590,KUINTAL,2014
39,JAWA BARAT,3213,KABUPATEN SUBANG,1721130,KUINTAL,2014
40,JAWA BARAT,3214,KABUPATEN PURWAKARTA,356970,KUINTAL,2014
41,JAWA BARAT,3215,KABUPATEN KARAWANG,1882610,KUINTAL,2014
42,JAWA BARAT,3216,KABUPATEN BEKASI,266770,KUINTAL,2014
43,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,273730,KUINTAL,2014
44,JAWA BARAT,3218,KABUPATEN PANGANDARAN,166690,KUINTAL,2014
45,JAWA BARAT,3271,KOTA BOGOR,42600,KUINTAL,2014
46,JAWA BARAT,3272,KOTA SUKABUMI,6770,KUINTAL,2014
47,JAWA BARAT,3273,KOTA BANDUNG,15930,KUINTAL,2014
48,JAWA BARAT,3274,KOTA CIREBON,35090,KUINTAL,2014
49,JAWA BARAT,3275,KOTA BEKASI,91290,KUINTAL,2014
50,JAWA BARAT,3276,KOTA DEPOK,27450,KUINTAL,2014
51,JAWA BARAT,3277,KOTA CIMAHI,6600,KUINTAL,2014
52,JAWA BARAT,3278,KOTA TASIKMALAYA,30660,KUINTAL,2014
53,JAWA BARAT,3279,KOTA BANJAR,87080,KUINTAL,2014
54,JAWA BARAT,3201,KABUPATEN BOGOR,201730,KUINTAL,2015
55,JAWA BARAT,3202,KABUPATEN SUKABUMI,1166230,KUINTAL,2015
56,JAWA BARAT,3203,KABUPATEN CIANJUR,863050,KUINTAL,2015
57,JAWA BARAT,3204,KABUPATEN BANDUNG,272170,KUINTAL,2015
58,JAWA BARAT,3205,KABUPATEN GARUT,1590150,KUINTAL,2015
59,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,352180,KUINTAL,2015
60,JAWA BARAT,3207,KABUPATEN CIAMIS,251510,KUINTAL,2015
61,JAWA BARAT,3208,KABUPATEN KUNINGAN,3210890,KUINTAL,2015
62,JAWA BARAT,3209,KABUPATEN CIREBON,3744330,KUINTAL,2015
63,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6439490,KUINTAL,2015
64,JAWA BARAT,3211,KABUPATEN SUMEDANG,2349100,KUINTAL,2015
65,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6873700,KUINTAL,2015
66,JAWA BARAT,3213,KABUPATEN SUBANG,830990,KUINTAL,2015
67,JAWA BARAT,3214,KABUPATEN PURWAKARTA,705880,KUINTAL,2015
68,JAWA BARAT,3215,KABUPATEN KARAWANG,1361610,KUINTAL,2015
69,JAWA BARAT,3216,KABUPATEN BEKASI,57260,KUINTAL,2015
70,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,200720,KUINTAL,2015
71,JAWA BARAT,3218,KABUPATEN PANGANDARAN,140790,KUINTAL,2015
72,JAWA BARAT,3271,KOTA BOGOR,99440,KUINTAL,2015
73,JAWA BARAT,3272,KOTA SUKABUMI,4650,KUINTAL,2015
74,JAWA BARAT,3273,KOTA BANDUNG,10870,KUINTAL,2015
75,JAWA BARAT,3274,KOTA CIREBON,32410,KUINTAL,2015
76,JAWA BARAT,3275,KOTA BEKASI,187410,KUINTAL,2015
77,JAWA BARAT,3276,KOTA DEPOK,9060,KUINTAL,2015
78,JAWA BARAT,3277,KOTA CIMAHI,1770,KUINTAL,2015
79,JAWA BARAT,3278,KOTA TASIKMALAYA,34260,KUINTAL,2015
80,JAWA BARAT,3279,KOTA BANJAR,30900,KUINTAL,2015
81,JAWA BARAT,3201,KABUPATEN BOGOR,107980,KUINTAL,2016
82,JAWA BARAT,3202,KABUPATEN SUKABUMI,627890,KUINTAL,2016
83,JAWA BARAT,3203,KABUPATEN CIANJUR,847800,KUINTAL,2016
84,JAWA BARAT,3204,KABUPATEN BANDUNG,195350,KUINTAL,2016
85,JAWA BARAT,3205,KABUPATEN GARUT,924430,KUINTAL,2016
86,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,126100,KUINTAL,2016
87,JAWA BARAT,3207,KABUPATEN CIAMIS,193560,KUINTAL,2016
88,JAWA BARAT,3208,KABUPATEN KUNINGAN,1291950,KUINTAL,2016
89,JAWA BARAT,3209,KABUPATEN CIREBON,3108620,KUINTAL,2016
90,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3752930,KUINTAL,2016
91,JAWA BARAT,3211,KABUPATEN SUMEDANG,2340250,KUINTAL,2016
92,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9064350,KUINTAL,2016
93,JAWA BARAT,3213,KABUPATEN SUBANG,719050,KUINTAL,2016
94,JAWA BARAT,3214,KABUPATEN PURWAKARTA,203800,KUINTAL,2016
95,JAWA BARAT,3215,KABUPATEN KARAWANG,1952690,KUINTAL,2016
96,JAWA BARAT,3216,KABUPATEN BEKASI,71710,KUINTAL,2016
97,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,168580,KUINTAL,2016
98,JAWA BARAT,3218,KABUPATEN PANGANDARAN,46990,KUINTAL,2016
99,JAWA BARAT,3271,KOTA BOGOR,82220,KUINTAL,2016
100,JAWA BARAT,3272,KOTA SUKABUMI,2830,KUINTAL,2016
101,JAWA BARAT,3273,KOTA BANDUNG,1260,KUINTAL,2016
102,JAWA BARAT,3274,KOTA CIREBON,69620,KUINTAL,2016
103,JAWA BARAT,3275,KOTA BEKASI,85500,KUINTAL,2016
104,JAWA BARAT,3276,KOTA DEPOK,7930,KUINTAL,2016
105,JAWA BARAT,3277,KOTA CIMAHI,740,KUINTAL,2016
106,JAWA BARAT,3278,KOTA TASIKMALAYA,10000,KUINTAL,2016
107,JAWA BARAT,3279,KOTA BANJAR,6510,KUINTAL,2016
108,JAWA BARAT,3201,KABUPATEN BOGOR,284970,KUINTAL,2017
109,JAWA BARAT,3202,KABUPATEN SUKABUMI,960900,KUINTAL,2017
110,JAWA BARAT,3203,KABUPATEN CIANJUR,1565680,KUINTAL,2017
111,JAWA BARAT,3204,KABUPATEN BANDUNG,454070,KUINTAL,2017
112,JAWA BARAT,3205,KABUPATEN GARUT,1233010,KUINTAL,2017
113,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,196830,KUINTAL,2017
114,JAWA BARAT,3207,KABUPATEN CIAMIS,142020,KUINTAL,2017
115,JAWA BARAT,3208,KABUPATEN KUNINGAN,2982180,KUINTAL,2017
116,JAWA BARAT,3209,KABUPATEN CIREBON,3915220,KUINTAL,2017
117,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6006380,KUINTAL,2017
118,JAWA BARAT,3211,KABUPATEN SUMEDANG,2838450,KUINTAL,2017
119,JAWA BARAT,3212,KABUPATEN INDRAMAYU,7747360,KUINTAL,2017
120,JAWA BARAT,3213,KABUPATEN SUBANG,954750,KUINTAL,2017
121,JAWA BARAT,3214,KABUPATEN PURWAKARTA,320630,KUINTAL,2017
122,JAWA BARAT,3215,KABUPATEN KARAWANG,2113460,KUINTAL,2017
123,JAWA BARAT,3216,KABUPATEN BEKASI,274400,KUINTAL,2017
124,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,151180,KUINTAL,2017
125,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3340,KUINTAL,2017
126,JAWA BARAT,3271,KOTA BOGOR,111530,KUINTAL,2017
127,JAWA BARAT,3272,KOTA SUKABUMI,1850,KUINTAL,2017
128,JAWA BARAT,3273,KOTA BANDUNG,850,KUINTAL,2017
129,JAWA BARAT,3274,KOTA CIREBON,46180,KUINTAL,2017
130,JAWA BARAT,3275,KOTA BEKASI,132040,KUINTAL,2017
131,JAWA BARAT,3276,KOTA DEPOK,15290,KUINTAL,2017
132,JAWA BARAT,3277,KOTA CIMAHI,390,KUINTAL,2017
133,JAWA BARAT,3278,KOTA TASIKMALAYA,37980,KUINTAL,2017
134,JAWA BARAT,3279,KOTA BANJAR,54780,KUINTAL,2017
135,JAWA BARAT,3201,KABUPATEN BOGOR,359360,KUINTAL,2018
136,JAWA BARAT,3202,KABUPATEN SUKABUMI,990030,KUINTAL,2018
137,JAWA BARAT,3203,KABUPATEN CIANJUR,1072100,KUINTAL,2018
138,JAWA BARAT,3204,KABUPATEN BANDUNG,675850,KUINTAL,2018
139,JAWA BARAT,3205,KABUPATEN GARUT,1113360,KUINTAL,2018
140,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,323900,KUINTAL,2018
141,JAWA BARAT,3207,KABUPATEN CIAMIS,578510,KUINTAL,2018
142,JAWA BARAT,3208,KABUPATEN KUNINGAN,3485060,KUINTAL,2018
143,JAWA BARAT,3209,KABUPATEN CIREBON,5547670,KUINTAL,2018
144,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4475670,KUINTAL,2018
145,JAWA BARAT,3211,KABUPATEN SUMEDANG,7358210,KUINTAL,2018
146,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9411470,KUINTAL,2018
147,JAWA BARAT,3213,KABUPATEN SUBANG,1997030,KUINTAL,2018
148,JAWA BARAT,3214,KABUPATEN PURWAKARTA,302680,KUINTAL,2018
149,JAWA BARAT,3215,KABUPATEN KARAWANG,1461630,KUINTAL,2018
150,JAWA BARAT,3216,KABUPATEN BEKASI,205800,KUINTAL,2018
151,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,142380,KUINTAL,2018
152,JAWA BARAT,3218,KABUPATEN PANGANDARAN,100590,KUINTAL,2018
153,JAWA BARAT,3271,KOTA BOGOR,114120,KUINTAL,2018
154,JAWA BARAT,3272,KOTA SUKABUMI,1220,KUINTAL,2018
155,JAWA BARAT,3273,KOTA BANDUNG,1740,KUINTAL,2018
156,JAWA BARAT,3274,KOTA CIREBON,525630,KUINTAL,2018
157,JAWA BARAT,3275,KOTA BEKASI,81980,KUINTAL,2018
158,JAWA BARAT,3276,KOTA DEPOK,30020,KUINTAL,2018
159,JAWA BARAT,3277,KOTA CIMAHI,1050,KUINTAL,2018
160,JAWA BARAT,3278,KOTA TASIKMALAYA,44780,KUINTAL,2018
161,JAWA BARAT,3279,KOTA BANJAR,52370,KUINTAL,2018
